"Payout","Payout"
"Payout error","Payout error"
"Missing required parameter","Missing required parameter"
"Payout needs the CURL PHP extension","Payout needs the CURL PHP extension"
"Payout needs the JSON PHP extension","Payout needs the JSON PHP extension"
"Client id or secret is not filled in payout plugin configuration","Client id or secret is not filled in payout plugin configuration"
"Invalid signature in API response","Invalid signature in API response"
"Payout api response error","Payout api response error"
"non ok / created http response code","non ok / created http response code"
"can't repeat checkout","can't repeat checkout"
"Both order id and transaction id are not provided","Both order id and transaction id are not provided"
"No order protect code provided","No order protect code provided"
"Order not found","Order not found"
"Transaction not found","Transaction not found"
"Order not loaded correctly","Order not loaded correctly"
"Can't verify repeat request","Can't verify repeat request"
"protect code is not available or not matching","protect code is not available or not matching"
"Payment transaction","Payment transaction"
"checkout changed its status to successful in meantime","checkout changed its status to successful in meantime"
"Webhook error","Webhook error"
"There is no external id","There is no external id"
"Payout secret is not filled in configuration, can not verify signature","Payout secret is not filled in configuration, can not verify signature"
"Signature is not valid","Signature is not valid"
"Order not found for external id (payment id)","Order not found for external id (payment id)"
"checkout status not set in webhook","checkout status not set in webhook"
"Webhook info","Webhook info"
"checkout status is not succeeded","checkout status is not succeeded"
"skipping","skipping"
"Payment method in order is not Payout","Payment method in order is not Payout"
"Can't find order transaction for checkout","Can't find order transaction for checkout"
"Success webhook for this checkout was already processed","Success webhook for this checkout was already processed"
"We could not find ""Order"" for processing","We could not find ""Order"" for processing"
"Error occurred, contact support or try again, please","Error occurred, contact support or try again, please"
"Given transaction type is not supported","Given transaction type is not supported"
"Order payment is not of type payment","Order payment is not of type payment"
"Created checkout","Created checkout"
"The authorized amount is %1","The authorized amount is %1"
"can't create transaction for checkout","can't create transaction for checkout"
"Given transaction type is not supported","Given transaction type is not supported"
"The authorized amount is %1","The authorized amount is %1"
"Obtained idempotency key","Obtained idempotency key"
"in meantime","in meantime"
"can't repeat checkout for it","can't repeat checkout for it"
"its order not loaded","its order not loaded"
"is not of type order","is not of type order"
"has not checkout id in its additional data","has not checkout id in its additional data"
"Redirect Response, Transaction has been approved: Payout_Checkout_Id: ""%1""","Redirect Response, Transaction has been approved: Payout_Checkout_Id: ""%1"""
"Notified customer about order #%1","Notified customer about order #%1"
"Notified customer about invoice #%1","Notified customer about invoice #%1"
"Payment Accepted","Payment Accepted"
"Payment was successfully processed","Payment was successfully processed"
"Thank you for your order","Thank you for your order"
"Your payment is still pending","Your payment is still pending"
"You can retry the payment below to complete your order","You can retry the payment below to complete your order"
"Retry Payment","Retry Payment"
"Order Not Paid Yet","Order Not Paid Yet"
