"Payout","Payout"
"Payout error","Payout chyba"
"Missing required parameter","Chýba povinný parameter"
"Payout needs the CURL PHP extension","Payout potrebuje CURL PHP rozšírenie"
"Payout needs the JSON PHP extension","Payout potrebuje JSON PHP rozšírenie"
"Client id or secret is not filled in payout plugin configuration","Klientské id alebo tajomstvo nie je vyplnené v kofigurácii rozšírenia"
"Invalid signature in API response","Neplatný podpis v api odpovedi"
"Payout api response error","Chyba payout api"
"non ok / created http response code","http kód z odpovede nebol ok ani created"
"can't repeat checkout","nie je možné vykonať opakovaný checkout"
"Both order id and transaction id are not provided","Obe id objednávky aj transakcie nie sú poskytnuté"
"No order protect code provided","Nie je poskytnutý ochranný kód"
"Order not found","Objednávka nebola nájdená"
"Transaction not found","Transakcia nebola nájdená"
"Order not loaded correctly","Objednávka nebola správne načítaná"
"Can't verify repeat request","nie je možné overiť opakovanú požiadavku"
"protect code is not available or not matching","ochranný kód nie je dostupný alebo sa nezhoduje"
"Payment transaction","Transackia platby"
"checkout changed its status to successful in meantime","stav checkout-u sa medzičasom zmenil na úspešný"
"Webhook error","Chyba webhook-u"
"There is no external id","Nie je poskytnuté externé id"
"Payout secret is not filled in configuration, can not verify signature","Klientské Payout tajomstvo nie je vyplnené v konfigurácii, nie je možné overiť podpis"
"Signature is not valid","Podpis nie je správny"
"Order not found for external id (payment id)","Objednávka nebola nájdená pre externé id (id platby)"
"checkout status not set in webhook","Stav checkout-u nie je dostupný vo webhook-u"
"Webhook info","Webhook informácia"
"checkout status is not succeeded","stav checkout-u nie je úspešný"
"skipping","preskakujem"
"Payment method in order is not Payout","Platobná metóda v objednávke nie je typu Payout"
"Can't find order transaction for checkout","Nie je možné nájsť transakciu objednávky platby pre checkout"
"Success webhook for this checkout was already processed","Úspešný webhook bol už raz predtým spracovaný"
"We could not find ""Order"" for processing","Nevieme nájsť ""Objednávku"" pre proces"
"Error occurred, contact support or try again, please","Nastala chyba, kontaktujte podporu, alebo to skúste znova"
"Given transaction type is not supported","Daný typ transakcie platby nie je podporovaný"
"Order payment is not of type payment","Objekt platby v objednávke nie je typu platba"
"Created checkout","Vytvorený checkout"
"The authorized amount is %1","Autorizovaná suma je %1"
"can't create transaction for checkout","nie je možné vytvoriť transakciu pre checkout"
"Given transaction type is not supported","Daný typ transakcie nie je podporovaný"
"The authorized amount is %1","The authorized amount is %1"
"Obtained idempotency key","Idempotency kľúč bol medzičasom získaný"
"in meantime",""
"can't repeat checkout for it","nie je možné pre ňu opakovať checkout"
"its order not loaded","jej platba nebola načítaná"
"is not of type order","nie je typu objednávka"
"has not checkout id in its additional data","nemá checkout id v jej dodatočných dátach"
"Redirect Response, Transaction has been approved: Payout_Checkout_Id: ""%1""","Odpoveď s presmerovaním, Transakcia bola schválená: Payout_Checkout_Id: ""%1"""
"Notified customer about order #%1","Zákazník bol notifikovaný o objednávke #%1"
"Notified customer about invoice #%1","Zákazník bol notifikovaný o faktúre #%1"
"Payment Accepted","Platba akceptovaná"
"Payment was successfully processed","Platba bola úspešne spracovaná"
"Thank you for your order","Ďakujeme za vašu objednávku"
"Your payment is still pending","Na vašu platbu sa stále čaká"
"You can retry the payment below to complete your order","Môžete sa znova pokúsiť o platbu stlačením tlačidla nižšie"
"Retry Payment","Opakovať platbu"
"Order Not Paid Yet","Objednávka ešte nebola zaplatená"
